City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-17.47,76,100,6.17,CA,1707264097
1,isafjordur,66.0755,-23.124,-3.3,89,100,7.52,IS,1707264113
2,udachny,66.4167,112.4,-30.31,74,96,1.88,RU,1707264113
3,launceston,-41.45,147.1667,19.89,48,15,2.06,AU,1707264114
4,chengde,40.9725,117.9361,-8.3,61,0,1.76,CN,1707264114
5,ushuaia,-54.8,-68.3,17.81,36,0,2.57,AR,1707264113
6,bethel,41.3712,-73.414,1.2,64,15,0.45,US,1707264114
7,grytviken,-54.2811,-36.5092,8.84,62,8,2.07,GS,1707264114
8,kruisfontein,-34.0033,24.7314,22.16,85,42,4.11,ZA,1707264114
9,iqaluit,63.7506,-68.5145,-20.15,59,0,5.66,CA,1707264115
10,talnakh,69.4865,88.3972,-20.59,85,100,3.17,RU,1707264115
11,port-aux-francais,-49.35,70.2167,6.38,92,100,10.05,TF,1707264115
12,puerto ayora,-0.7393,-90.3518,25.83,83,70,4.07,EC,1707264115
13,mersa matruh,31.3525,27.2453,11.11,93,0,2.06,EG,1707264116
14,adamstown,-25.066,-130.1015,24.73,84,56,4.94,PN,1707264116
15,gadzhiyevo,69.2551,33.3362,-16.73,96,98,3.99,RU,1707264116
16,iskateley,67.6803,53.1512,-24.43,98,98,1.79,RU,1707264116
17,jamestown,42.097,-79.2353,0.57,77,0,3.6,US,1707264111
18,college,64.8569,-147.8028,-9.89,77,89,0.21,US,1707264117
19,mount isa,-20.7333,139.5,29.87,51,99,6.69,AU,1707264117
20,badger,64.8,-147.5333,-9.93,83,83,0.21,US,1707264118
21,carnarvon,-24.8667,113.6333,30.4,39,4,6.57,AU,1707264118
22,yemel'yanovo,56.1681,92.6767,-15.51,85,47,1.0,RU,1707264118
23,thunder bay,48.4001,-89.3168,2.99,93,75,2.06,CA,1707264118
24,tazovsky,67.4667,78.7,-17.54,99,95,3.46,RU,1707264118
25,luang namtha,20.9497,101.4011,13.55,61,0,0.56,LA,1707264118
26,fale old settlement,-9.3852,-171.2468,28.76,80,99,11.83,TK,1707264118
27,bredasdorp,-34.5322,20.0403,20.31,63,5,6.18,ZA,1707264119
28,avarua,-21.2078,-159.775,30.03,79,75,5.66,CK,1707264119
29,puerto aysen,-45.4,-72.7,10.25,98,100,3.98,CL,1707264119
30,polyarnyy,69.1989,33.4478,-16.12,94,97,4.25,RU,1707264119
31,waitangi,-43.9535,-176.5597,18.79,95,98,10.46,NZ,1707264119
32,cobram,-35.9167,145.65,21.69,40,0,2.8,AU,1707264120
33,port elizabeth,-33.918,25.5701,23.39,90,40,8.75,ZA,1707263953
34,edinburgh of the seven seas,-37.0676,-12.3116,17.12,64,68,1.72,SH,1707264120
35,dacice,49.0815,15.4373,7.9,77,89,9.08,CZ,1707264120
36,dubuque,42.4833,-90.8668,6.04,67,0,5.14,US,1707263829
37,remire-montjoly,4.9167,-52.2667,25.02,100,75,0.0,GF,1707264121
38,hawaiian paradise park,19.5933,-154.9731,25.49,71,79,1.79,US,1707264121
39,yaren,-0.5472,166.916,29.02,74,91,6.24,NR,1707264121
40,ribeira grande,38.5167,-28.7,17.65,94,90,5.81,PT,1707264121
41,stanley,54.868,-1.6985,2.62,76,0,3.6,GB,1707264122
42,tol'yatti,53.5303,49.3461,-10.45,87,93,8.38,RU,1707264122
43,braganca,-1.0536,-46.7656,24.26,93,29,0.47,BR,1707264122
44,ciudad bolivar,8.1222,-63.5497,34.0,37,53,2.48,VE,1707264122
45,olonkinbyen,70.9221,-8.7187,-3.16,89,57,9.71,SJ,1707264123
46,west island,-12.1568,96.8225,26.99,78,40,3.6,CC,1707264123
47,coquimbo,-29.9533,-71.3436,20.85,77,0,4.63,CL,1707263596
48,lebu,-37.6167,-73.65,18.1,91,74,1.25,CL,1707264123
49,hastings,50.8552,0.5729,11.66,50,100,15.26,GB,1707264124
50,santa maria,-29.6842,-53.8069,25.61,89,20,2.06,BR,1707264124
51,papatowai,-46.5619,169.4708,16.64,51,46,5.17,NZ,1707264127
52,longyearbyen,78.2186,15.6401,-9.09,67,40,6.17,SJ,1707264129
53,sakaiminato,35.55,133.2333,3.99,93,75,3.6,JP,1707264132
54,qamdo,31.1667,97.2333,-9.97,53,81,3.02,CN,1707264132
55,poronaysk,49.2167,143.1167,-16.77,85,17,0.68,RU,1707264132
56,saipan,15.1355,145.701,26.04,63,99,7.5,MP,1707264135
57,segamat,2.5148,102.8158,24.01,94,96,1.14,MY,1707264136
58,port lincoln,-34.7333,135.8667,18.95,65,8,4.36,AU,1707264138
59,charters towers,-20.1,146.2667,30.34,51,29,3.53,AU,1707264139
60,turkmenbasy,40.0222,52.9552,7.43,53,100,3.09,TM,1707264140
